pixel,elem,real,imag
0,0,-0.0607015581,0.0169067273
0,1,-0.0084110944,0.0624518527
0,2,0.0540618382,0.0323633575
0,3,0.0628358621,0.0046107256
0,4,0.0622113272,-0.0100395140
0,5,0.0510629737,-0.0369230815
0,6,-0.0137931726,-0.0614812534
0,7,-0.0619411068,-0.0115807276
0,8,-0.0605133271,0.0175892559
0,9,-0.0550541642,-0.0306667295
0,10,-0.0168949244,-0.0607085883
0,11,0.0028382470,-0.0629510055
0,12,0.0127226737,-0.0617163604
0,13,0.0312994076,-0.0546921706
0,14,0.0609010947,-0.0161913767
0,15,0.0543311531,0.0319241913
0,16,-0.0614180112,-0.0140666761
0,17,-0.0539451448,0.0325494315
0,18,-0.0161858048,0.0608885818
0,19,0.0029850541,0.0629338469
0,20,0.0125795889,0.0617356586
0,21,0.0306600482,0.0550430572
0,22,0.0602950788,0.0182908034
0,23,0.0560815043,-0.0287305102
0,24,-0.0221592728,-0.0589959435
0,25,-0.0432589805,-0.0458277208
0,26,-0.0576173397,-0.0255162755
0,27,-0.0609284902,-0.0160739955
0,28,-0.0620118635,-0.0111857603
0,29,-0.0630005598,-0.0012284248
0,30,-0.0585701358,0.0232485794
0,31,-0.0450118954,0.0440994845
0,32,-0.0474776155,-0.0414217409
0,33,-0.0593344995,-0.0211968197
0,34,-0.0629732674,0.0019628942
0,35,-0.0619770366,0.0113326250
0,36,-0.0609569080,0.0159356023
0,37,-0.0578999380,0.0248486754
0,38,-0.0448133600,0.0442950382
0,39,-0.0255257913,0.0576099930
0,40,0.0325479265,0.0539499695
0,41,0.0507582715,0.0373322465
0,42,0.0611985672,0.0149978899
0,43,0.0627945166,0.0052118595
0,44,0.0630096762,0.0002546786
0,45,0.0622701218,-0.0096333667
0,46,0.0538083497,-0.0327901338
0,47,0.0371099765,-0.0509263441
1,0,-0.0581838445,-0.0241863905
1,1,-0.0612655519,0.0147220832
1,2,-0.0408402476,0.0479816210
1,3,-0.0275906539,0.0566468089
1,4,-0.0202578879,0.0596657359
1,5,-0.0047462650,0.0628311940
1,6,0.0331715030,0.0535718246
1,7,0.0583609248,0.0237585968
1,8,0.0267445744,-0.0570548760
1,9,-0.0092382834,-0.0623310130
1,10,-0.0421438128,-0.0468439740
1,11,-0.0518633735,-0.0357847531
1,12,-0.0556890990,-0.0294810689
1,13,-0.0610099555,-0.0157530711
1,14,-0.0595528305,0.0205843905
1,15,-0.0382593319,0.0500646813
1,16,-0.0518031042,-0.0358713520
1,17,-0.0623463590,-0.0091175500
1,18,-0.0599038943,0.0195356343
1,19,-0.0553135092,0.0301754506
1,20,-0.0523045293,0.0351344075
1,21,-0.0449858472,0.0441190289
1,22,-0.0206984544,0.0595136017
1,23,0.0078994848,0.0625135701
1,24,0.0498592193,0.0385260635
1,25,0.0556393258,0.0295718536
1,26,0.0598278010,0.0197702941
1,27,0.0610289773,0.0156749225
1,28,0.0615248179,0.0135995546
1,29,0.0623046124,0.0094037460
1,30,0.0629988144,-0.0012321325
1,31,0.0618899481,-0.0118324002
1,32,-0.0594471868,0.0208882173
1,33,-0.0011100207,0.0630008884
1,34,0.0586739639,0.0229719002
1,35,0.0626086114,-0.0071010550
1,36,0.0590587663,-0.0219600378
1,37,0.0419579268,-0.0470074768
1,38,-0.0294633994,-0.0556966797
1,39,-0.0624692640,0.0082328489
1,40,-0.0479258654,0.0409083564
1,41,-0.0629384800,-0.0030393171
1,42,-0.0437603316,-0.0453370892
1,43,-0.0282986502,-0.0562990219
1,44,-0.0195092506,-0.0599144600
1,45,-0.0008098864,-0.0630057344
1,46,0.0425796030,-0.0464477788
1,47,0.0628377818,-0.0046571249
2,0,-0.0565185372,-0.0278669378
2,1,-0.0625782948,0.0073789903
2,2,-0.0484802708,0.0402464550
2,3,-0.0380168469,0.0502466103
2,4,-0.0319913244,0.0542835510
2,5,-0.0187646649,0.0601506799
2,6,0.0169955412,0.0606762894
2,7,0.0472826426,0.0416605934
2,8,0.0627484010,0.0058060069
2,9,0.0621738905,0.0102637842
2,10,0.0612842899,0.0146698869
2,11,0.0608403976,0.0164127432
2,12,0.0605996206,0.0172800202
2,13,0.0600806096,0.0190018899
2,14,0.0585733879,0.0232371139
2,15,0.0567673285,0.0273539155
2,16,-0.0591430268,0.0217523526
2,17,0.0003496324,0.0630092230
2,18,0.0593779335,0.0210975527
2,19,0.0623227074,-0.0093001738
2,20,0.0582116083,-0.0241239463
2,21,0.0400283759,-0.0486605027
2,22,-0.0321526370,-0.0541815481
2,23,-0.0618877375,0.0118192776
2,24,-0.0387714855,0.0496703572
2,25,-0.0609036612,0.0161780241
2,26,-0.0583124957,-0.0238867753
2,27,-0.0502367989,-0.0380443217
2,28,-0.0448937420,-0.0442216364
2,29,-0.0320507341,-0.0542570897
2,30,0.0072228577,-0.0626037559
2,31,0.0435652216,-0.0455348900
2,32,-0.0538104634,-0.0327885642
2,33,-0.0629519652,-0.0027165863
2,34,-0.0564330663,0.0280277020
2,35,-0.0496749463,0.0387630649
2,36,-0.0455212635,0.0435656880
2,37,-0.0358742400,0.0518011905
2,38,-0.0063897417,0.0626870169
2,39,0.0246836957,0.0579776165
2,40,0.0589419138,-0.0222924760
2,41,0.0296253784,-0.0556178247
2,42,-0.0143891625,-0.0613498051
2,43,-0.0312161579,-0.0547387457
2,44,-0.0387467450,-0.0496937379
2,45,-0.0512615132,-0.0366473253
2,46,-0.0627056945,0.0062353488
2,47,-0.0430423919,0.0460216175
3,0,-0.0599232272,0.0194810862
3,1,-0.0041740739,0.0628724722
3,2,0.0568218218,0.0272315964
3,3,0.0629829086,-0.0018379422
3,4,0.0607745025,-0.0166383476
3,5,0.0463911829,-0.0426404257
3,6,-0.0223553121,-0.0589114325
3,7,-0.0630002276,-0.0011294524
3,8,-0.0407337837,0.0480733383
3,9,-0.0583667964,0.0237392479
3,10,-0.0627238140,-0.0059949298
3,11,-0.0604161942,-0.0178922189
3,12,-0.0584156471,-0.0236192120
3,13,-0.0528138792,-0.0343658138
3,14,-0.0308911438,-0.0549193171
3,15,-0.0019416390,-0.0629806917
3,16,-0.0493788655,-0.0391410280
3,17,-0.0607652195,-0.0166681013
3,18,-0.0624374943,0.0084690070
3,19,-0.0602724005,0.0183690978
3,20,-0.0585998132,0.0231567624
3,21,-0.0541298288,0.0322519043
3,22,-0.0371690000,0.0508790938
3,23,-0.0142672094,0.0613731769
3,24,0.0599788698,0.0193101537
3,25,0.0560007505,-0.0288833456
3,26,0.0190388887,-0.0600651098
3,27,-0.0005113638,-0.0630079381
3,28,-0.0103899921,-0.0621475359
3,29,-0.0291367949,-0.0558690407
3,30,-0.0601513539,-0.0187668343
3,31,-0.0557369771,0.0293889427
3,32,-0.0604219683,-0.0178762782
3,33,-0.0575088415,0.0257494920
3,34,-0.0269063909,0.0569757528
3,35,-0.0098983105,0.0622274224
3,36,-0.0010093190,0.0630015970
3,37,0.0166506803,0.0607699209
3,38,0.0521908756,0.0353044799
3,39,0.0626023570,-0.0071595988
3,40,0.0513905670,-0.0364588941
3,41,0.0599876135,-0.0192782889
3,42,0.0630081956,-0.0003051098
3,43,0.0625740405,0.0073924499
3,44,0.0620046813,0.0112069893
3,45,0.0601720079,0.0186957882
3,46,0.0517418144,0.0359587571
3,47,0.0385010152,0.0498786500
4,0,-0.0460400317,-0.0430149100
4,1,-0.0576094538,-0.0255090269
4,2,-0.0627908589,-0.0051756537
4,3,-0.0629206120,0.0032485360
