frame,norm
0,4.39453125e-03
1,7.72509766e+00
2,2.26733398e+01
3,4.33540039e+01
4,1.37255859e+00
5,1.52050781e+01
6,1.92368164e+01
7,3.13696289e+01
8,9.14062500e-01
9,1.65771484e+00
10,1.38525391e+00
11,5.47851562e-01
12,1.36718750e-01
13,1.71484375e+00
14,1.61132812e-01
15,1.75683594e+00
16,2.72949219e-01
17,8.49609375e-01
18,1.56542969e+00
19,2.18261719e-01
20,3.52050781e-01
21,8.12988281e-01
22,1.11059570e+01
23,7.50390625e+00
24,5.85937500e-02
25,1.57714844e-01
26,1.26953125e-02
27,1.11328125e-01
28,2.17089844e+00
29,3.22265625e-02
30,4.39453125e-03
