batch,channel,real,imag
0,0,0.0012207,-0.00305176
0,1,0.000610352,0.000610352
0,2,-0.000488281,-0.000976562
0,3,-0.000244141,-0.000244141
0,4,-0.00170898,0.00561523
0,5,-0.00012207,-0.0045166
0,6,-0.00109863,0.0012207
0,7,0.000488281,-0.000610352
0,8,-0.00463867,-0.00634766
0,9,0.00390625,0.00158691
0,10,0.00146484,0.00183105
0,11,0.00256348,0.00244141
0,12,0.0045166,-0.00012207
0,13,0.00012207,0.00610352
0,14,0.0020752,0.00134277
0,15,-0.000366211,-0.00354004
0,16,0.00109863,0.00183105
0,17,-0.00292969,-0.0012207
0,18,-0.000488281,0.00402832
0,19,0.0012207,0.00219727
0,20,0.00256348,0.00280762
0,21,0.00158691,0.00378418
0,22,-0.00317383,0.00244141
0,23,0.00280762,0.00817871
0,24,0.00170898,-0.00280762
0,25,0.00012207,0.000488281
0,26,0.00183105,-0.00317383
0,27,-0.000732422,-0.000854492
0,28,-0.000488281,-0.00256348
0,29,0.00012207,-0.0032959
0,30,-0.00158691,0.00549316
0,31,-0.00524902,-0.0012207
0,32,0.0045166,-0.00158691
0,33,-0.00280762,-0.00415039
0,34,0.000610352,-0.00170898
0,35,0.000976562,0.00427246
0,36,-0.00549316,-0.00354004
0,37,-0.00219727,-0.00231934
0,38,0.00561523,-0.000488281
0,39,-0.0012207,0.00195312
0,40,0.00146484,-0.00292969
0,41,0.000366211,0.00109863
0,42,-0.00622559,0.00158691
0,43,0.00134277,-0.00280762
0,44,-0.00134277,-0.000610352
0,45,-0.00219727,-0.00439453
0,46,0.00354004,-0.000244141
0,47,0.00561523,0.00219727
1,0,0.00634766,0.0020752
1,1,0.00256348,0.000732422
1,2,0.00219727,-0.00109863
1,3,0.00109863,0.00012207
1,4,-0.000732422,-0.00463867
1,5,0.00170898,-0.00390625
1,6,-0.00415039,-0.000488281
1,7,0.0045166,0.00305176
1,8,-0.00622559,0.00195312
1,9,-0.00134277,0.0012207
1,10,-0.0057373,0.00378418
1,11,-0.00109863,0.00354004
1,12,0.000732422,0.000244141
1,13,0.000610352,0.00341797
1,14,-0.00244141,0.0012207
1,15,-0.00280762,0.00256348
1,16,0.00305176,0.000488281
1,17,-0.0012207,0.00170898
1,18,-0.00244141,-0.000366211
1,19,-0.000244141,-0.000854492
1,20,-0.000366211,-0.00146484
1,21,-0.00549316,0.000488281
1,22,-0.00231934,0.00341797
1,23,0.000488281,-0.00585938
